sample_id,user_id,song_path,song_key,ground_truth_filename,response_index,intended_emotion,time_spent_seconds,song_amusement,true_amusement,song_anger,true_anger,song_sadness,true_sadness,song_contentment,true_contentment,song_disgust,true_disgust,song_awe,true_awe,song_fear,true_fear,song_excitement,true_excitement
user_506002__awe_09142_mp3__r010,user_506002,songs/awe/awe_09142.mp3,awe_09142.mp3,awe\awe_09142.mp3,10,awe,43,0.3846,1.0,0.2788,0.0,0.234,0.0,0.6635,0.3,0.0,0.0,1.0,0.63,0.234,0.0,0.3526,0.65
user_506002__contentment_09997_mp3__r008,user_506002,songs/contentment/contentment_09997.mp3,contentment_09997.mp3,contentment\contentment_09997.mp3,8,contentment,36,0.4209,1.0,0.0,0.0,0.2806,0.0,1.0,1.0,0.4065,0.0,0.2158,0.47,0.2518,0.0,0.4065,0.64
user_506002__contentment_10017_mp3__r000,user_506002,songs/contentment/contentment_10017.mp3,contentment_10017.mp3,contentment\contentment_10017.mp3,0,contentment,246,0.4115,0.41,0.0619,0.0,0.0708,0.0,1.0,0.0,0.4912,0.47,0.5973,0.12,0.0,0.46,0.469,0.0
user_506002__disgust_03228_mp3__r015,user_506002,songs/disgust/disgust_03228.mp3,disgust_03228.mp3,disgust\disgust_03228.mp3,15,disgust,42,0.0,1.0,0.4731,1.0,0.2903,0.0,0.8602,0.0,1.0,0.0,0.1183,0.18,0.086,0.53,0.7527,1.0
user_506002__disgust_04038_mp3__r004,user_506002,songs/disgust/disgust_04038.mp3,disgust_04038.mp3,disgust\disgust_04038.mp3,4,disgust,52,0.1868,0.13,0.6484,0.0,0.5714,0.0,0.5275,0.0,1.0,0.0,0.033,0.41,0.0,0.56,0.1429,0.0
user_506002__fear_03287_mp3__r012,user_506002,songs/fear/fear_03287.mp3,fear_03287.mp3,fear\fear_03287.mp3,12,fear,70,0.6364,0.25,0.9886,1.0,0.6591,0.0,0.0,0.0,0.875,0.0,0.3409,0.0,1.0,1.0,0.4432,0.15
user_506002__fear_09249_mp3__r006,user_506002,songs/fear/fear_09249.mp3,fear_09249.mp3,fear\fear_09249.mp3,6,fear,53,0.266,0.67,0.5213,0.24,0.6383,0.0,0.0957,0.63,0.2766,0.0,0.3511,0.12,1.0,0.0,0.0,0.12
user_506002__sadness_07965_mp3__r007,user_506002,songs/sadness/sadness_07965.mp3,sadness_07965.mp3,sadness\sadness_07965.mp3,7,sadness,76,0.5043,0.0,0.765,0.0,1.0,1.0,0.0,0.0,0.5342,0.0,0.6538,0.32,0.5085,0.29,0.359,0.0
user_584217__anger_08270_mp3__r000,user_584217,songs/anger/anger_08270.mp3,anger_08270.mp3,anger\anger_08270.mp3,0,anger,69,0.6573,0.03,1.0,0.05,0.5734,0.0,0.0,0.1,0.3357,0.01,0.7762,0.05,0.7133,0.0,0.5734,0.0
user_608592__anger_01997_mp3__r001,user_608592,songs/anger/anger_01997.mp3,anger_01997.mp3,anger\anger_01997.mp3,1,anger,43,0.3158,0.3,1.0,0.2,0.1805,0.0,0.0,0.03,0.0526,0.14,0.5564,0.06,0.188,0.23,0.3835,0.43
user_608592__contentment_10001_mp3__r000,user_608592,songs/contentment/contentment_10001.mp3,contentment_10001.mp3,contentment\contentment_10001.mp3,0,contentment,81,0.3273,0.15,0.1583,0.04,0.0576,0.37,1.0,0.48,0.0,0.02,0.482,0.4,0.2554,0.02,0.5827,0.02
user_609277__amusement_19692_mp3__r010,user_609277,songs/amusement/amusement_19692.mp3,amusement_19692.mp3,amusement\amusement_19692.mp3,10,amusement,51,1.0,0.71,0.4969,0.26,0.1288,0.02,0.319,0.5,0.0,0.03,0.9755,0.74,0.6748,0.24,0.5828,0.5
user_609277__anger_02002_mp3__r011,user_609277,songs/anger/anger_02002.mp3,anger_02002.mp3,anger\anger_02002.mp3,11,anger,47,0.5616,0.74,1.0,0.49,0.2877,0.01,0.0,0.73,0.2534,0.25,0.3904,0.51,0.6781,0.24,0.7671,0.74
user_609277__anger_04337_mp3__r006,user_609277,songs/anger/anger_04337.mp3,anger_04337.mp3,anger\anger_04337.mp3,6,anger,57,0.7673,0.51,1.0,0.25,0.7673,0.01,0.6584,0.49,0.0,0.03,0.9059,0.46,0.0891,0.01,0.8911,0.73
user_609277__awe_09150_mp3__r002,user_609277,songs/awe/awe_09150.mp3,awe_09150.mp3,awe\awe_09150.mp3,2,awe,151,0.3612,0.23,0.2599,0.02,0.0441,0.0,0.5154,0.49,0.0,0.01,1.0,0.25,0.2203,0.02,0.4714,0.51
user_609277__contentment_10023_mp3__r005,user_609277,songs/contentment/contentment_10023.mp3,contentment_10023.mp3,contentment\contentment_10023.mp3,5,contentment,72,0.28,0.5,0.0,0.49,0.1143,0.03,1.0,0.26,0.3714,0.25,0.6686,0.73,0.1314,0.25,0.0971,0.52
user_609277__contentment_10033_mp3__r013,user_609277,songs/contentment/contentment_10033.mp3,contentment_10033.mp3,contentment\contentment_10033.mp3,13,contentment,63,0.4179,0.26,0.0,0.47,0.1903,0.0,1.0,0.25,0.6493,0.01,0.2724,0.25,0.2351,0.24,0.2239,0.22
user_609277__disgust_10795_mp3__r008,user_609277,songs/disgust/disgust_10795.mp3,disgust_10795.mp3,disgust\disgust_10795.mp3,8,disgust,52,0.7731,0.51,0.9664,0.27,0.8487,0.0,0.0,0.25,1.0,0.24,0.2269,0.49,0.7563,0.25,0.6134,0.5
user_609277__excitement_08026_mp3__r009,user_609277,songs/excitement/excitement_08026.mp3,excitement_08026.mp3,excitement\excitement_08026.mp3,9,excitement,47,0.469,0.97,0.1822,0.52,0.2287,0.0,0.7636,0.49,0.0,0.04,0.1589,0.74,0.4341,0.25,1.0,0.75
user_609277__excitement_08037_mp3__r007,user_609277,songs/excitement/excitement_08037.mp3,excitement_08037.mp3,excitement\excitement_08037.mp3,7,excitement,81,0.6582,0.47,0.0,0.25,0.0443,0.01,0.8165,0.46,0.3101,0.02,0.6835,0.24,0.2975,0.0,1.0,0.48
user_609277__fear_03308_mp3__r003,user_609277,songs/fear/fear_03308.mp3,fear_03308.mp3,fear\fear_03308.mp3,3,fear,82,0.7891,0.5,0.8503,0.49,0.1156,0.24,0.0,0.25,0.8503,0.26,0.6463,0.51,1.0,0.5,0.4422,0.51
user_609277__fear_09208_mp3__r001,user_609277,songs/fear/fear_09208.mp3,fear_09208.mp3,fear\fear_09208.mp3,1,fear,84,0.8808,0.72,0.8497,0.48,0.1036,0.01,0.0,0.5,0.8549,0.25,0.6995,0.24,1.0,0.25,0.7409,0.5
user_609277__sadness_07946_mp3__r004,user_609277,songs/sadness/sadness_07946.mp3,sadness_07946.mp3,sadness\sadness_07946.mp3,4,sadness,47,0.5497,0.73,0.2053,0.26,1.0,0.01,0.894,0.48,0.404,0.01,0.9735,0.26,0.4371,0.02,0.0,0.26
user_609277__sadness_07963_mp3__r015,user_609277,songs/sadness/sadness_07963.mp3,sadness_07963.mp3,sadness\sadness_07963.mp3,15,sadness,45,0.89,0.73,0.38,0.49,1.0,0.49,0.8,0.48,0.53,0.24,0.99,0.96,0.0,0.25,0.55,0.74
user_664044__amusement_08335_mp3__r001,user_664044,songs/amusement/amusement_08335.mp3,amusement_08335.mp3,amusement\amusement_08335.mp3,1,amusement,57,1.0,1.0,0.3529,0.29,0.3235,0.33,0.1373,0.83,0.0,0.04,0.2206,0.34,0.7108,0.19,0.5784,0.79
user_664044__amusement_17644_mp3__r000,user_664044,songs/amusement/amusement_17644.mp3,amusement_17644.mp3,amusement\amusement_17644.mp3,0,amusement,93,1.0,0.37,0.5502,0.44,0.3974,0.85,0.2489,0.68,0.0,0.56,0.4061,1.0,0.6943,1.0,0.655,0.21
user_664044__contentment_09998_mp3__r007,user_664044,songs/contentment/contentment_09998.mp3,contentment_09998.mp3,contentment\contentment_09998.mp3,7,contentment,31,0.5347,0.47,0.0,0.61,0.5139,0.61,1.0,0.44,0.0833,0.47,0.8403,0.44,0.0903,0.36,0.1042,0.48
user_664044__disgust_02554_mp3__r009,user_664044,songs/disgust/disgust_02554.mp3,disgust_02554.mp3,disgust\disgust_02554.mp3,9,disgust,114,0.5481,0.45,0.6741,1.0,0.9333,0.34,0.2741,0.18,1.0,0.41,0.3333,1.0,0.0,0.36,0.1185,0.68
user_664044__disgust_10025_mp3__r006,user_664044,songs/disgust/disgust_10025.mp3,disgust_10025.mp3,disgust\disgust_10025.mp3,6,disgust,32,0.0769,0.84,0.375,0.65,0.1058,0.69,0.7981,0.46,1.0,0.08,0.5481,0.4,0.0,0.53,0.6923,0.16
user_664044__fear_03283_mp3__r003,user_664044,songs/fear/fear_03283.mp3,fear_03283.mp3,fear\fear_03283.mp3,3,fear,48,0.5101,0.82,0.6309,0.51,0.4362,0.27,0.5772,0.5,0.4899,0.31,0.0,0.41,1.0,0.24,0.3691,0.57
user_664044__sadness_03455_mp3__r002,user_664044,songs/sadness/sadness_03455.mp3,sadness_03455.mp3,sadness\sadness_03455.mp3,2,sadness,62,0.7035,0.78,0.2035,0.36,1.0,0.06,0.5988,0.74,0.0,0.13,0.5291,0.29,0.1047,0.04,0.3779,0.83
user_781798__anger_04395_mp3__r000,user_781798,songs/anger/anger_04395.mp3,anger_04395.mp3,anger\anger_04395.mp3,0,anger,80,0.57,0.49,1.0,0.31,0.64,0.24,0.0,0.47,0.745,0.74,0.55,0.73,0.69,0.24,0.17,0.48
user_782570__amusement_08296_mp3__r015,user_782570,songs/amusement/amusement_08296.mp3,amusement_08296.mp3,amusement\amusement_08296.mp3,15,amusement,65,1.0,0.16,0.3455,0.0,0.4303,0.0,0.4182,0.09,0.5758,0.0,0.0,0.18,0.9879,0.0,0.3697,0.19
user_782570__amusement_17661_mp3__r010,user_782570,songs/amusement/amusement_17661.mp3,amusement_17661.mp3,amusement\amusement_17661.mp3,10,amusement,45,1.0,0.21,0.5278,0.0,0.2269,0.0,0.2778,0.0,0.0,0.0,0.4213,0.0,0.6296,0.52,0.9491,0.55
user_782570__anger_02012_mp3__r009,user_782570,songs/anger/anger_02012.mp3,anger_02012.mp3,anger\anger_02012.mp3,9,anger,38,0.538,0.74,1.0,0.0,0.2337,0.0,0.0,0.39,0.1739,0.0,0.4239,0.41,0.3478,0.0,0.8152,0.38
user_782570__anger_08259_mp3__r000,user_782570,songs/anger/anger_08259.mp3,anger_08259.mp3,anger\anger_08259.mp3,0,anger,170,0.75,0.5,1.0,0.48,0.4292,0.0,0.0,0.46,0.3349,0.0,0.5755,0.33,0.6462,0.0,0.9575,0.68
user_782570__awe_09145_mp3__r002,user_782570,songs/awe/awe_09145.mp3,awe_09145.mp3,awe\awe_09145.mp3,2,awe,74,0.4502,0.42,0.3607,0.0,0.2438,0.0,0.3706,0.0,0.0,0.0,1.0,0.19,0.1468,0.0,0.3856,0.21
user_782570__contentment_10004_mp3__r003,user_782570,songs/contentment/contentment_10004.mp3,contentment_10004.mp3,contentment\contentment_10004.mp3,3,contentment,249,0.4637,0.59,0.0,0.0,0.4637,0.0,1.0,0.13,0.8324,0.0,0.4916,0.29,0.6536,0.01,0.6872,0.42
user_782570__contentment_10007_mp3__r004,user_782570,songs/contentment/contentment_10007.mp3,contentment_10007.mp3,contentment\contentment_10007.mp3,4,contentment,78,0.616,0.58,0.0,0.0,0.504,0.0,1.0,0.63,0.496,0.0,0.664,0.61,0.2,0.0,0.688,0.57
user_782570__disgust_09313_mp3__r007,user_782570,songs/disgust/disgust_09313.mp3,disgust_09313.mp3,disgust\disgust_09313.mp3,7,disgust,66,0.7206,0.2,0.9853,0.0,0.0,0.0,0.2059,0.0,1.0,0.0,0.3235,0.0,0.9265,0.48,0.2353,0.18
user_782570__excitement_08024_mp3__r011,user_782570,songs/excitement/excitement_08024.mp3,excitement_08024.mp3,excitement\excitement_08024.mp3,11,excitement,49,0.8672,0.45,0.7266,0.0,0.1719,0.0,0.0,0.2,0.6016,0.0,0.4766,0.23,0.3906,0.1,1.0,0.48
user_782570__excitement_09961_mp3__r014,user_782570,songs/excitement/excitement_09961.mp3,excitement_09961.mp3,excitement\excitement_09961.mp3,14,excitement,56,0.2603,0.15,0.6301,0.0,0.6804,0.0,0.2192,0.04,0.242,0.0,0.0,0.0,0.4247,0.0,1.0,0.11
user_782570__fear_09177_mp3__r006,user_782570,songs/fear/fear_09177.mp3,fear_09177.mp3,fear\fear_09177.mp3,6,fear,52,0.873,0.54,0.6587,0.0,0.0,0.01,0.1667,0.09,0.6825,0.0,0.0159,0.38,1.0,0.48,0.2222,0.72
user_782570__sadness_07945_mp3__r005,user_782570,songs/sadness/sadness_07945.mp3,sadness_07945.mp3,sadness\sadness_07945.mp3,5,sadness,72,0.6232,0.59,0.4348,0.0,1.0,0.0,0.5072,0.47,0.7899,0.01,0.4855,0.46,0.8986,0.0,0.0,0.13
user_782570__sadness_07971_mp3__r001,user_782570,songs/sadness/sadness_07971.mp3,sadness_07971.mp3,sadness\sadness_07971.mp3,1,sadness,74,0.4971,0.0,0.5429,0.0,1.0,0.0,0.0,0.0,0.68,0.4,0.4971,0.0,0.52,0.0,0.0686,0.0
user_820406__excitement_07980_mp3__r000,user_820406,songs/excitement/excitement_07980.mp3,excitement_07980.mp3,excitement\excitement_07980.mp3,0,excitement,202,0.498,0.46,0.3563,0.0,0.2146,0.0,0.668,0.35,0.0,0.0,0.4777,0.0,0.3725,0.0,1.0,0.24
user_876459__amusement_02943_mp3__r003,user_876459,songs/amusement/amusement_02943.mp3,amusement_02943.mp3,amusement\amusement_02943.mp3,3,amusement,45,1.0,0.5,0.0,0.55,0.2975,0.24,0.7934,0.54,0.4215,0.06,0.6446,0.5,0.0165,0.23,0.8099,0.25
user_876459__amusement_08339_mp3__r005,user_876459,songs/amusement/amusement_08339.mp3,amusement_08339.mp3,amusement\amusement_08339.mp3,5,amusement,30,1.0,0.46,0.2919,0.18,0.2249,0.11,0.0383,0.33,0.0766,0.13,0.0,0.34,0.6746,0.21,0.689,0.35
user_876459__anger_08262_mp3__r014,user_876459,songs/anger/anger_08262.mp3,anger_08262.mp3,anger\anger_08262.mp3,14,anger,33,0.4641,0.48,1.0,0.2,0.085,0.24,0.0,0.38,0.4575,0.0,0.915,0.44,0.0784,0.24,0.6144,0.38
user_876459__anger_10052_mp3__r006,user_876459,songs/anger/anger_10052.mp3,anger_10052.mp3,anger\anger_10052.mp3,6,anger,35,0.3958,0.87,1.0,0.83,0.7222,0.6,0.0,0.83,0.0486,0.17,0.5625,0.66,0.1042,0.71,0.2014,0.5
user_876459__awe_09144_mp3__r001,user_876459,songs/awe/awe_09144.mp3,awe_09144.mp3,awe\awe_09144.mp3,1,awe,44,0.4179,0.44,0.2277,0.0,0.1729,0.13,0.8098,0.44,0.0,0.07,1.0,0.5,0.1124,0.49,0.4611,0.49
user_876459__awe_09154_mp3__r007,user_876459,songs/awe/awe_09154.mp3,awe_09154.mp3,awe\awe_09154.mp3,7,awe,35,0.3993,0.94,0.2158,0.06,0.1367,0.94,0.5072,0.9,0.0,0.09,1.0,0.9,0.0144,0.82,0.4137,0.97
user_876459__contentment_09991_mp3__r002,user_876459,songs/contentment/contentment_09991.mp3,contentment_09991.mp3,contentment\contentment_09991.mp3,2,contentment,38,0.5422,0.5,0.0,0.16,0.0924,0.29,1.0,0.5,0.2129,0.09,0.4257,0.12,0.0,0.51,0.5582,0.5
user_876459__contentment_09996_mp3__r013,user_876459,songs/contentment/contentment_09996.mp3,contentment_09996.mp3,contentment\contentment_09996.mp3,13,contentment,22,0.2711,0.49,0.0,0.43,0.2,0.45,1.0,0.37,0.1644,0.46,0.3778,0.32,0.1956,0.44,0.4489,0.51
user_876459__disgust_02047_mp3__r004,user_876459,songs/disgust/disgust_02047.mp3,disgust_02047.mp3,disgust\disgust_02047.mp3,4,disgust,50,0.4323,0.38,0.7871,0.46,0.9548,0.18,0.2452,0.37,1.0,0.2,0.2258,0.5,0.0,0.2,0.0968,0.35
user_876459__disgust_06543_mp3__r010,user_876459,songs/disgust/disgust_06543.mp3,disgust_06543.mp3,disgust\disgust_06543.mp3,10,disgust,32,0.4648,0.33,0.9014,0.38,0.0,0.41,0.8028,0.44,1.0,0.05,0.8873,0.41,0.0,0.48,0.7465,0.41
user_876459__excitement_08007_mp3__r011,user_876459,songs/excitement/excitement_08007.mp3,excitement_08007.mp3,excitement\excitement_08007.mp3,11,excitement,35,0.5,0.45,0.2313,0.17,0.1938,0.11,0.6937,0.41,0.0,0.0,0.9437,0.0,0.6625,0.43,1.0,0.0
user_876459__excitement_08031_mp3__r015,user_876459,songs/excitement/excitement_08031.mp3,excitement_08031.mp3,excitement\excitement_08031.mp3,15,excitement,32,0.8706,0.58,0.0597,0.32,0.1294,0.65,0.6965,0.35,0.0,0.0,0.1592,0.38,0.4378,0.56,1.0,0.46
user_876459__fear_09153_mp3__r008,user_876459,songs/fear/fear_09153.mp3,fear_09153.mp3,fear\fear_09153.mp3,8,fear,29,0.3333,0.48,0.4065,0.4,0.2683,0.43,0.0976,0.31,0.2195,0.23,0.7317,0.35,1.0,0.24,0.0,0.16
user_876459__fear_09183_mp3__r000,user_876459,songs/fear/fear_09183.mp3,fear_09183.mp3,fear\fear_09183.mp3,0,fear,80,0.7352,0.45,0.8037,0.33,0.6119,0.66,0.0,0.5,0.4703,0.3,0.8219,0.5,1.0,0.67,0.5205,0.71
user_876459__sadness_03442_mp3__r009,user_876459,songs/sadness/sadness_03442.mp3,sadness_03442.mp3,sadness\sadness_03442.mp3,9,sadness,31,0.3964,0.47,0.5225,0.47,1.0,0.43,0.3333,0.85,0.1802,0.06,0.0,0.4,0.3874,0.54,0.5315,0.46
user_876459__sadness_03451_mp3__r012,user_876459,songs/sadness/sadness_03451.mp3,sadness_03451.mp3,sadness\sadness_03451.mp3,12,sadness,31,0.4437,0.02,0.6127,0.17,1.0,0.26,0.257,0.41,0.4859,0.01,0.3134,0.22,0.493,0.08,0.0,0.04
user_884395__contentment_10003_mp3__r000,user_884395,songs/contentment/contentment_10003.mp3,contentment_10003.mp3,contentment\contentment_10003.mp3,0,contentment,118,0.1493,0.58,0.0,0.16,0.3657,0.15,1.0,0.37,0.6045,0.06,0.0149,0.35,0.1045,0.02,0.3731,0.6
user_953094__amusement_17647_mp3__r002,user_953094,songs/amusement/amusement_17647.mp3,amusement_17647.mp3,amusement\amusement_17647.mp3,2,amusement,50,1.0,0.37,0.5949,0.0,0.3354,0.0,0.0,0.3,0.2532,0.0,0.6329,0.0,0.6709,0.0,0.7911,0.42
user_953094__anger_08253_mp3__r006,user_953094,songs/anger/anger_08253.mp3,anger_08253.mp3,anger\anger_08253.mp3,6,anger,32,0.8596,0.35,1.0,0.0,0.6298,0.0,0.0,0.4,0.4468,0.08,0.6596,0.0,0.6383,0.0,0.8894,0.02
user_953094__awe_09117_mp3__r013,user_953094,songs/awe/awe_09117.mp3,awe_09117.mp3,awe\awe_09117.mp3,13,awe,31,0.5079,0.26,0.2795,0.38,0.4449,0.0,0.7795,0.04,0.0,0.0,1.0,0.55,0.1457,0.26,0.3465,0.64
user_953094__contentment_10032_mp3__r004,user_953094,songs/contentment/contentment_10032.mp3,contentment_10032.mp3,contentment\contentment_10032.mp3,4,contentment,39,0.5963,0.25,0.0,0.01,0.0497,0.0,1.0,0.59,0.0186,0.0,0.3478,0.04,0.2671,0.0,0.2484,0.2
user_953094__disgust_02553_mp3__r001,user_953094,songs/disgust/disgust_02553.mp3,disgust_02553.mp3,disgust\disgust_02553.mp3,1,disgust,46,0.2419,0.21,0.1613,0.4,0.5806,0.23,0.9839,0.41,1.0,0.68,0.4839,0.32,0.4516,0.18,0.0,0.38
user_953094__excitement_07981_mp3__r005,user_953094,songs/excitement/excitement_07981.mp3,excitement_07981.mp3,excitement\excitement_07981.mp3,5,excitement,28,0.52,0.62,0.24,0.02,0.0,0.05,0.67,0.02,0.235,0.02,0.6,0.62,0.15,0.02,1.0,0.6
user_953094__excitement_07982_mp3__r011,user_953094,songs/excitement/excitement_07982.mp3,excitement_07982.mp3,excitement\excitement_07982.mp3,11,excitement,35,0.467,0.0,0.4533,0.34,0.4487,0.0,0.6036,0.0,0.1845,0.0,0.0,0.53,0.4897,0.67,1.0,0.79
user_953094__fear_03314_mp3__r015,user_953094,songs/fear/fear_03314.mp3,fear_03314.mp3,fear\fear_03314.mp3,15,fear,29,0.3178,0.55,0.8598,0.27,0.0,0.0,0.0093,0.59,0.7664,0.0,0.0093,0.05,1.0,0.0,0.9065,0.6
user_953094__fear_09171_mp3__r007,user_953094,songs/fear/fear_09171.mp3,fear_09171.mp3,fear\fear_09171.mp3,7,fear,36,0.2388,0.59,0.4328,0.0,0.0896,0.0,0.0,0.44,0.5522,0.0,0.2537,0.0,1.0,0.0,0.4179,0.03
user_953094__sadness_03448_mp3__r012,user_953094,songs/sadness/sadness_03448.mp3,sadness_03448.mp3,sadness\sadness_03448.mp3,12,sadness,39,0.8492,0.27,0.2381,0.0,1.0,0.0,0.5079,0.06,0.1984,0.07,0.5317,0.0,0.0,0.0,0.2381,0.45
user_953094__sadness_07975_mp3__r014,user_953094,songs/sadness/sadness_07975.mp3,sadness_07975.mp3,sadness\sadness_07975.mp3,14,sadness,27,0.3056,0.23,0.3849,0.0,1.0,0.0,0.5357,0.32,0.2381,0.0,0.6389,0.0,0.4603,0.05,0.0,0.55
user_961536__anger_04355_mp3__r002,user_961536,songs/anger/anger_04355.mp3,anger_04355.mp3,anger\anger_04355.mp3,2,anger,59,0.5643,0.86,1.0,0.08,0.8,0.0,0.2071,0.47,0.2571,0.0,0.1429,0.41,0.0,0.0,0.5429,0.94
user_961536__contentment_10002_mp3__r000,user_961536,songs/contentment/contentment_10002.mp3,contentment_10002.mp3,contentment\contentment_10002.mp3,0,contentment,82,0.3846,0.89,0.0,0.74,0.5,0.59,1.0,0.69,0.4451,0.65,0.4066,0.78,0.4725,0.56,0.5714,0.49
user_961536__disgust_08857_mp3__r001,user_961536,songs/disgust/disgust_08857.mp3,disgust_08857.mp3,disgust\disgust_08857.mp3,1,disgust,73,0.6239,0.55,0.9725,0.67,0.7982,0.0,0.0734,0.64,1.0,0.0,0.3578,0.7,0.1651,0.03,0.0,0.75
user_961536__excitement_08004_mp3__r009,user_961536,songs/excitement/excitement_08004.mp3,excitement_08004.mp3,excitement\excitement_08004.mp3,9,excitement,36,0.9358,0.18,0.3048,0.19,0.0,0.01,0.893,0.93,0.0428,0.0,0.5989,0.15,0.4064,0.0,1.0,0.32
user_961536__fear_09247_mp3__r008,user_961536,songs/fear/fear_09247.mp3,fear_09247.mp3,fear\fear_09247.mp3,8,fear,32,0.7818,0.32,0.7545,0.86,0.1273,0.78,0.8727,0.1,0.6364,0.09,0.0,0.65,1.0,0.53,0.7727,0.13
user_961536__sadness_03477_mp3__r010,user_961536,songs/sadness/sadness_03477.mp3,sadness_03477.mp3,sadness\sadness_03477.mp3,10,sadness,33,0.3803,0.94,0.3474,0.02,1.0,0.11,0.5587,0.42,0.2911,0.05,0.3709,0.53,0.385,0.03,0.0,0.31
user_961536__sadness_07947_mp3__r004,user_961536,songs/sadness/sadness_07947.mp3,sadness_07947.mp3,sadness\sadness_07947.mp3,4,sadness,38,0.0744,0.2,0.7769,0.91,1.0,0.07,0.0,0.74,0.7851,0.06,0.2893,0.64,0.2479,0.7,0.1488,0.77
